refdate,refdate2,date,team,opponent,win,runs,runs_allowed
,,,,,,,
 4/ 5, 4/ 5/2012,4/5/2012,WSN,CHC,TRUE,2,1
 4/ 7, 4/ 7/2012,4/7/2012,WSN,CHC,TRUE,7,4
 4/ 8, 4/ 8/2012,4/8/2012,WSN,CHC,FALSE,3,4
 4/ 9, 4/ 9/2012,4/9/2012,WSN,NYM,FALSE,3,4
 4/ 10, 4/ 10/2012,4/10/2012,WSN,NYM,TRUE,6,2
 4/ 11, 4/ 11/2012,4/11/2012,WSN,NYM,TRUE,4,0
 4/ 12, 4/ 12/2012,4/12/2012,WSN,CIN,TRUE,3,2
 4/ 13, 4/ 13/2012,4/13/2012,WSN,CIN,TRUE,2,1
 4/ 14, 4/ 14/2012,4/14/2012,WSN,CIN,TRUE,4,1
 4/ 15, 4/ 15/2012,4/15/2012,WSN,CIN,FALSE,5,8
 4/ 16, 4/ 16/2012,4/16/2012,WSN,HOU,TRUE,6,3
 4/ 17, 4/ 17/2012,4/17/2012,WSN,HOU,TRUE,1,0
 4/ 18, 4/ 18/2012,4/18/2012,WSN,HOU,TRUE,3,2
 4/ 19, 4/ 19/2012,4/19/2012,WSN,HOU,FALSE,4,11
 4/ 20, 4/ 20/2012,4/20/2012,WSN,MIA,TRUE,2,0
 4/ 21, 4/ 21/2012,4/21/2012,WSN,MIA,TRUE,3,2
 4/ 24, 4/ 24/2012,4/24/2012,WSN,SDP,TRUE,3,1
 4/ 25, 4/ 25/2012,4/25/2012,WSN,SDP,TRUE,7,2
 4/ 26, 4/ 26/2012,4/26/2012,WSN,SDP,FALSE,1,2
 4/ 27, 4/ 27/2012,4/27/2012,WSN,LAD,FALSE,2,3
 4/ 28, 4/ 28/2012,4/28/2012,WSN,LAD,FALSE,3,4
 4/ 29, 4/ 29/2012,4/29/2012,WSN,LAD,FALSE,0,2
 5/ 1, 5/ 1/2012,5/1/2012,WSN,ARI,FALSE,1,5
 5/ 2, 5/ 2/2012,5/2/2012,WSN,ARI,TRUE,5,4
 5/ 3, 5/ 3/2012,5/3/2012,WSN,ARI,TRUE,2,1
 5/ 4, 5/ 4/2012,5/4/2012,WSN,PHI,TRUE,4,3
 5/ 5, 5/ 5/2012,5/5/2012,WSN,PHI,TRUE,7,1
 5/ 6, 5/ 6/2012,5/6/2012,WSN,PHI,FALSE,3,9
 5/ 8, 5/ 8/2012,5/8/2012,WSN,PIT,FALSE,4,5
 5/ 9, 5/ 9/2012,5/9/2012,WSN,PIT,FALSE,2,4
 5/ 10, 5/ 10/2012,5/10/2012,WSN,PIT,TRUE,4,2
 5/ 11, 5/ 11/2012,5/11/2012,WSN,CIN,TRUE,7,3
 5/ 12, 5/ 12/2012,5/12/2012,WSN,CIN,TRUE,2,1
 5/ 13, 5/ 13/2012,5/13/2012,WSN,CIN,FALSE,6,9
 5/ 14, 5/ 14/2012,5/14/2012,WSN,SDP,TRUE,8,5
 5/ 15, 5/ 15/2012,5/15/2012,WSN,SDP,FALSE,1,6
 5/ 16, 5/ 16/2012,5/16/2012,WSN,PIT,TRUE,7,4
 5/ 17, 5/ 17/2012,5/17/2012,WSN,PIT,FALSE,3,5
 5/ 18, 5/ 18/2012,5/18/2012,WSN,BAL,FALSE,1,2
 5/ 19, 5/ 19/2012,5/19/2012,WSN,BAL,FALSE,5,6
 5/ 20, 5/ 20/2012,5/20/2012,WSN,BAL,TRUE,9,3
 5/ 21, 5/ 21/2012,5/21/2012,WSN,PHI,TRUE,2,1
 5/ 22, 5/ 22/2012,5/22/2012,WSN,PHI,TRUE,5,2
 5/ 23, 5/ 23/2012,5/23/2012,WSN,PHI,FALSE,1,4
 5/ 25, 5/ 25/2012,5/25/2012,WSN,ATL,TRUE,7,4
 5/ 26, 5/ 26/2012,5/26/2012,WSN,ATL,TRUE,8,4
 5/ 27, 5/ 27/2012,5/27/2012,WSN,ATL,TRUE,7,2
 5/ 28, 5/ 28/2012,5/28/2012,WSN,MIA,FALSE,3,5
 5/ 29, 5/ 29/2012,5/29/2012,WSN,MIA,FALSE,1,3
 5/ 30, 5/ 30/2012,5/30/2012,WSN,MIA,FALSE,3,5
 6/ 2, 6/ 2/2012,6/2/2012,WSN,ATL,TRUE,2,0
 6/ 3, 6/ 3/2012,6/3/2012,WSN,ATL,FALSE,2,3
 6/ 5, 6/ 5/2012,6/5/2012,WSN,NYM,TRUE,7,6
 6/ 6, 6/ 6/2012,6/6/2012,WSN,NYM,TRUE,5,3
 6/ 7, 6/ 7/2012,6/7/2012,WSN,NYM,FALSE,1,3
 6/ 8, 6/ 8/2012,6/8/2012,WSN,BOS,TRUE,7,4
 6/ 9, 6/ 9/2012,6/9/2012,WSN,BOS,TRUE,4,2
 6/ 10, 6/ 10/2012,6/10/2012,WSN,BOS,TRUE,4,3
 6/ 11, 6/ 11/2012,6/11/2012,WSN,TOR,TRUE,6,3
 6/ 12, 6/ 12/2012,6/12/2012,WSN,TOR,TRUE,4,2
 6/ 13, 6/ 13/2012,6/13/2012,WSN,TOR,TRUE,6,2
 6/ 15, 6/ 15/2012,6/15/2012,WSN,NYY,FALSE,2,7
 6/ 16, 6/ 16/2012,6/16/2012,WSN,NYY,FALSE,3,5
 6/ 17, 6/ 17/2012,6/17/2012,WSN,NYY,FALSE,1,4
 6/ 19, 6/ 19/2012,6/19/2012,WSN,TBR,FALSE,4,5
 6/ 20, 6/ 20/2012,6/20/2012,WSN,TBR,TRUE,3,2
 6/ 21, 6/ 21/2012,6/21/2012,WSN,TBR,TRUE,5,2
 6/ 22, 6/ 22/2012,6/22/2012,WSN,BAL,FALSE,1,2
 6/ 23, 6/ 23/2012,6/23/2012,WSN,BAL,TRUE,3,1
 6/ 24, 6/ 24/2012,6/24/2012,WSN,BAL,FALSE,1,2
 6/ 25, 6/ 25/2012,6/25/2012,WSN,COL,FALSE,2,4
 6/ 26, 6/ 26/2012,6/26/2012,WSN,COL,TRUE,12,5
 6/ 27, 6/ 27/2012,6/27/2012,WSN,COL,TRUE,11,5
 6/ 28, 6/ 28/2012,6/28/2012,WSN,COL,FALSE,10,11
 6/ 29, 6/ 29/2012,6/29/2012,WSN,ATL,TRUE,5,4
 6/ 30, 6/ 30/2012,6/30/2012,WSN,ATL,FALSE,5,7
 7/ 1, 7/ 1/2012,7/1/2012,WSN,ATL,TRUE,8,4
 7/ 3, 7/ 3/2012,7/3/2012,WSN,SFG,TRUE,9,3
 7/ 4, 7/ 4/2012,7/4/2012,WSN,SFG,TRUE,9,4
 7/ 5, 7/ 5/2012,7/5/2012,WSN,SFG,TRUE,6,5
 7/ 6, 7/ 6/2012,7/6/2012,WSN,COL,FALSE,1,5
 7/ 7, 7/ 7/2012,7/7/2012,WSN,COL,TRUE,4,1
 7/ 8, 7/ 8/2012,7/8/2012,WSN,COL,FALSE,3,4
 7/ 13, 7/ 13/2012,7/13/2012,WSN,MIA,TRUE,5,1
 7/ 14, 7/ 14/2012,7/14/2012,WSN,MIA,FALSE,1,2
 7/ 15, 7/ 15/2012,7/15/2012,WSN,MIA,TRUE,4,0
 7/ 16, 7/ 16/2012,7/16/2012,WSN,MIA,FALSE,3,5
 7/ 17, 7/ 17/2012,7/17/2012,WSN,NYM,TRUE,5,4
 7/ 18, 7/ 18/2012,7/18/2012,WSN,NYM,TRUE,4,3
 7/ 19, 7/ 19/2012,7/19/2012,WSN,NYM,FALSE,5,9
 7/ 20, 7/ 20/2012,7/20/2012,WSN,ATL,FALSE,10,11
 7/ 21 , 7/ 21 /2012,7/21/2012,WSN,ATL,FALSE,0,4
 7/ 21 , 7/ 21 /2012,7/21/2012,WSN,ATL,TRUE,5,2
 7/ 22, 7/ 22/2012,7/22/2012,WSN,ATL,TRUE,9,2
 7/ 23, 7/ 23/2012,7/23/2012,WSN,NYM,TRUE,8,2
 7/ 24, 7/ 24/2012,7/24/2012,WSN,NYM,TRUE,5,2
 7/ 25, 7/ 25/2012,7/25/2012,WSN,NYM,TRUE,5,2
 7/ 26, 7/ 26/2012,7/26/2012,WSN,MIL,TRUE,8,2
 7/ 27, 7/ 27/2012,7/27/2012,WSN,MIL,FALSE,0,6
 7/ 28, 7/ 28/2012,7/28/2012,WSN,MIL,TRUE,4,1
 7/ 29, 7/ 29/2012,7/29/2012,WSN,MIL,TRUE,11,10
 7/ 31, 7/ 31/2012,7/31/2012,WSN,PHI,FALSE,0,8
 8/ 1, 8/ 1/2012,8/1/2012,WSN,PHI,FALSE,2,3
 8/ 2, 8/ 2/2012,8/2/2012,WSN,PHI,TRUE,3,0
 8/ 3 , 8/ 3 /2012,8/3/2012,WSN,MIA,TRUE,7,4
 8/ 3 , 8/ 3 /2012,8/3/2012,WSN,MIA,FALSE,2,5
 8/ 4, 8/ 4/2012,8/4/2012,WSN,MIA,TRUE,10,7
 8/ 5, 8/ 5/2012,8/5/2012,WSN,MIA,TRUE,4,1
 8/ 6, 8/ 6/2012,8/6/2012,WSN,HOU,TRUE,5,4
 8/ 7, 8/ 7/2012,8/7/2012,WSN,HOU,TRUE,3,2
 8/ 8, 8/ 8/2012,8/8/2012,WSN,HOU,TRUE,4,3
 8/ 9, 8/ 9/2012,8/9/2012,WSN,HOU,TRUE,5,0
 8/ 10, 8/ 10/2012,8/10/2012,WSN,ARI,TRUE,9,1
 8/ 11, 8/ 11/2012,8/11/2012,WSN,ARI,TRUE,6,5
 8/ 12, 8/ 12/2012,8/12/2012,WSN,ARI,FALSE,4,7
 8/ 13, 8/ 13/2012,8/13/2012,WSN,SFG,TRUE,14,2
 8/ 14, 8/ 14/2012,8/14/2012,WSN,SFG,FALSE,1,6
 8/ 15, 8/ 15/2012,8/15/2012,WSN,SFG,TRUE,6,4
 8/ 17, 8/ 17/2012,8/17/2012,WSN,NYM,TRUE,6,4
 8/ 18, 8/ 18/2012,8/18/2012,WSN,NYM,FALSE,0,2
 8/ 19, 8/ 19/2012,8/19/2012,WSN,NYM,TRUE,5,2
 8/ 20, 8/ 20/2012,8/20/2012,WSN,ATL,TRUE,5,4
 8/ 21, 8/ 21/2012,8/21/2012,WSN,ATL,TRUE,4,1
 8/ 22, 8/ 22/2012,8/22/2012,WSN,ATL,FALSE,1,5
 8/ 24, 8/ 24/2012,8/24/2012,WSN,PHI,FALSE,2,4
 8/ 25, 8/ 25/2012,8/25/2012,WSN,PHI,FALSE,2,4
 8/ 26, 8/ 26/2012,8/26/2012,WSN,PHI,FALSE,1,4
 8/ 28, 8/ 28/2012,8/28/2012,WSN,MIA,FALSE,0,9
 8/ 29, 8/ 29/2012,8/29/2012,WSN,MIA,TRUE,8,4
 8/ 30, 8/ 30/2012,8/30/2012,WSN,STL,TRUE,8,1
 8/ 31, 8/ 31/2012,8/31/2012,WSN,STL,TRUE,10,0
 9/ 1, 9/ 1/2012,9/1/2012,WSN,STL,FALSE,9,10
 9/ 2, 9/ 2/2012,9/2/2012,WSN,STL,TRUE,4,3
 9/ 3, 9/ 3/2012,9/3/2012,WSN,CHC,TRUE,2,1
 9/ 4, 9/ 4/2012,9/4/2012,WSN,CHC,TRUE,11,5
 9/ 5, 9/ 5/2012,9/5/2012,WSN,CHC,TRUE,9,1
 9/ 6, 9/ 6/2012,9/6/2012,WSN,CHC,TRUE,9,2
 9/ 7, 9/ 7/2012,9/7/2012,WSN,MIA,FALSE,7,9
 9/ 8, 9/ 8/2012,9/8/2012,WSN,MIA,TRUE,7,6
 9/ 9, 9/ 9/2012,9/9/2012,WSN,MIA,FALSE,0,8
 9/ 10, 9/ 10/2012,9/10/2012,WSN,NYM,TRUE,5,1
 9/ 11, 9/ 11/2012,9/11/2012,WSN,NYM,TRUE,5,3
 9/ 12, 9/ 12/2012,9/12/2012,WSN,NYM,TRUE,2,0
 9/ 14, 9/ 14/2012,9/14/2012,WSN,ATL,FALSE,1,2
 9/ 15, 9/ 15/2012,9/15/2012,WSN,ATL,FALSE,4,5
 9/ 16, 9/ 16/2012,9/16/2012,WSN,ATL,FALSE,1,5
 9/ 19 , 9/ 19 /2012,9/19/2012,WSN,LAD,TRUE,3,1
 9/ 19 , 9/ 19 /2012,9/19/2012,WSN,LAD,FALSE,6,7
 9/ 20, 9/ 20/2012,9/20/2012,WSN,LAD,TRUE,4,1
 9/ 21, 9/ 21/2012,9/21/2012,WSN,MIL,FALSE,2,4
 9/ 22, 9/ 22/2012,9/22/2012,WSN,MIL,TRUE,10,4
 9/ 23, 9/ 23/2012,9/23/2012,WSN,MIL,FALSE,2,6
 9/ 24, 9/ 24/2012,9/24/2012,WSN,MIL,TRUE,12,2
 9/ 25, 9/ 25/2012,9/25/2012,WSN,PHI,FALSE,3,6
 9/ 26, 9/ 26/2012,9/26/2012,WSN,PHI,TRUE,8,4
 9/ 27, 9/ 27/2012,9/27/2012,WSN,PHI,TRUE,7,3
 9/ 28, 9/ 28/2012,9/28/2012,WSN,STL,FALSE,2,12
 9/ 29, 9/ 29/2012,9/29/2012,WSN,STL,TRUE,6,4
 9/ 30, 9/ 30/2012,9/30/2012,WSN,STL,FALSE,4,10
 10/ 1, 10/ 1/2012,10/1/2012,WSN,PHI,FALSE,0,2
 10/ 2, 10/ 2/2013,10/2/2013,WSN,PHI,TRUE,4,2
 10/ 3, 10/ 3/2013,10/3/2013,WSN,PHI,TRUE,5,1
 4/ 1, 4/ 1/2013,4/1/2013,WSN,MIA,TRUE,2,0
 4/ 3, 4/ 3/2013,4/3/2013,WSN,MIA,TRUE,3,0
 4/ 4, 4/ 4/2013,4/4/2013,WSN,MIA,TRUE,6,1
 4/ 5, 4/ 5/2013,4/5/2013,WSN,CIN,FALSE,0,15
 4/ 6, 4/ 6/2013,4/6/2013,WSN,CIN,TRUE,7,6
 4/ 7, 4/ 7/2013,4/7/2013,WSN,CIN,FALSE,3,6
 4/ 9, 4/ 9/2013,4/9/2013,WSN,CHW,TRUE,8,7
 4/ 10, 4/ 10/2013,4/10/2013,WSN,CHW,TRUE,5,2
 4/ 11, 4/ 11/2013,4/11/2013,WSN,CHW,TRUE,7,4
 4/ 12, 4/ 12/2013,4/12/2013,WSN,ATL,FALSE,4,6
 4/ 13, 4/ 13/2013,4/13/2013,WSN,ATL,FALSE,1,3
 4/ 14, 4/ 14/2013,4/14/2013,WSN,ATL,FALSE,0,9
