date,team,opp,wl,runs,runs_allowed
Monday Apr 3,WSN,MIA,W,4,2
Wednesday Apr 5,WSN,MIA,W,6,4
Thursday Apr 6,WSN,MIA,L,3,4
Friday Apr 7,WSN,PHI,W,7,6
Saturday Apr 8,WSN,PHI,L,3,17
Sunday Apr 9,WSN,PHI,L,3,4
Monday Apr 10,WSN,STL,W,14,6
Tuesday Apr 11,WSN,STL,W,8,3
Wednesday Apr 12,WSN,STL,L,1,6
Friday Apr 14,WSN,PHI,W,3,2
Saturday Apr 15,WSN,PHI,L,2,4
Sunday Apr 16,WSN,PHI,W,6,4
Tuesday Apr 18,WSN,ATL,W,3,1
Wednesday Apr 19,WSN,ATL,W,14,4
Thursday Apr 20,WSN,ATL,W,3,2
Friday Apr 21,WSN,NYM,W,4,3
Saturday Apr 22,WSN,NYM,W,3,1
Sunday Apr 23,WSN,NYM,W,6,3
Monday Apr 24,WSN,COL,L,4,8
Tuesday Apr 25,WSN,COL,W,15,12
Wednesday Apr 26,WSN,COL,W,11,4
Thursday Apr 27,WSN,COL,W,16,5
Friday Apr 28,WSN,NYM,L,5,7
Saturday Apr 29,WSN,NYM,L,3,5
Sunday Apr 30,WSN,NYM,W,23,5
Tuesday May 2,WSN,ARI,L,3,6
Wednesday May 3,WSN,ARI,W,2,1
Thursday May 4,WSN,ARI,W,4,2
Friday May 5,WSN,PHI,W,4,2
Saturday May 6,WSN,PHI,W,6,2
Sunday May 7,WSN,PHI,L,5,6
Monday May 8,WSN,BAL,L,4,6
Tuesday May 9,WSN,BAL,L,4,5
Wednesday May 10,WSN,BAL,W,7,6
Saturday May 13,WSN,PHI,W,6,4
Sunday May 14 (1),WSN,PHI,L,3,4
Sunday May 14 (2),WSN,PHI,W,6,5
Tuesday May 16,WSN,PIT,W,8,4
Wednesday May 17,WSN,PIT,L,1,6
Thursday May 18,WSN,PIT,L,4,10
Friday May 19,WSN,ATL,L,4,7
Saturday May 20,WSN,ATL,L,2,5
Sunday May 21,WSN,ATL,W,3,2
Tuesday May 23,WSN,SEA,W,10,1
Wednesday May 24,WSN,SEA,W,5,1
Thursday May 25,WSN,SEA,L,2,4
Friday May 26,WSN,SDP,W,5,1
Saturday May 27,WSN,SDP,W,3,0
Sunday May 28,WSN,SDP,L,3,5
Monday May 29,WSN,SFG,W,3,0
Tuesday May 30,WSN,SFG,W,6,3
Wednesday May 31,WSN,SFG,W,3,1
Friday Jun 2,WSN,OAK,W,13,3
Saturday Jun 3,WSN,OAK,L,4,10
Sunday Jun 4,WSN,OAK,W,11,10
Monday Jun 5,WSN,LAD,10:1,10:1,10:1
Tuesday Jun 6,WSN,LAD,10:1,10:1,10:1
Wednesday Jun 7,WSN,LAD,3:10,3:10,3:10
Thursday Jun 8,WSN,BAL,7:05,7:05,7:05
Friday Jun 9,WSN,TEX,7:05,7:05,7:05
Saturday Jun 10,WSN,TEX,12:0,12:0,12:0
Sunday Jun 11,WSN,TEX,4:05,4:05,4:05
Monday Jun 12,WSN,ATL,7:05,7:05,7:05
Tuesday Jun 13,WSN,ATL,7:05,7:05,7:05
Wednesday Jun 14,WSN,ATL,4:05,4:05,4:05
Thursday Jun 15,WSN,NYM,7:10,7:10,7:10
Friday Jun 16,WSN,NYM,7:10,7:10,7:10
Saturday Jun 17,WSN,NYM,4:10,4:10,4:10
Sunday Jun 18,WSN,NYM,1:10,1:10,1:10
Monday Jun 19,WSN,MIA,7:10,7:10,7:10
Tuesday Jun 20,WSN,MIA,7:10,7:10,7:10
Wednesday Jun 21,WSN,MIA,12:1,12:1,12:1
Friday Jun 23,WSN,CIN,7:05,7:05,7:05
Saturday Jun 24,WSN,CIN,4:05,4:05,4:05
Sunday Jun 25,WSN,CIN,1:35,1:35,1:35
Monday Jun 26,WSN,CHC,7:05,7:05,7:05
Tuesday Jun 27,WSN,CHC,7:05,7:05,7:05
Wednesday Jun 28,WSN,CHC,7:05,7:05,7:05
Thursday Jun 29,WSN,CHC,4:05,4:05,4:05
Friday Jun 30,WSN,STL,8:15,8:15,8:15
Saturday Jul 1,WSN,STL,7:15,7:15,7:15
Sunday Jul 2,WSN,STL,2:15,2:15,2:15
Monday Jul 3,WSN,NYM,6:05,6:05,6:05
Tuesday Jul 4,WSN,NYM,11:0,11:0,11:0
Wednesday Jul 5,WSN,NYM,7:05,7:05,7:05
Thursday Jul 6,WSN,ATL,7:05,7:05,7:05
Friday Jul 7,WSN,ATL,7:05,7:05,7:05
Saturday Jul 8,WSN,ATL,4:05,4:05,4:05
Sunday Jul 9,WSN,ATL,1:35,1:35,1:35
Friday Jul 14,WSN,CIN,7:10,7:10,7:10
Saturday Jul 15,WSN,CIN,7:10,7:10,7:10
Sunday Jul 16,WSN,CIN,1:10,1:10,1:10
Monday Jul 17,WSN,CIN,12:3,12:3,12:3
Tuesday Jul 18,WSN,LAA,10:0,10:0,10:0
Wednesday Jul 19,WSN,LAA,10:0,10:0,10:0
Friday Jul 21,WSN,ARI,9:40,9:40,9:40
Saturday Jul 22,WSN,ARI,8:10,8:10,8:10
Sunday Jul 23,WSN,ARI,4:10,4:10,4:10
Tuesday Jul 25,WSN,MIL,7:05,7:05,7:05
Wednesday Jul 26,WSN,MIL,7:05,7:05,7:05
Thursday Jul 27,WSN,MIL,12:0,12:0,12:0
Friday Jul 28,WSN,COL,7:05,7:05,7:05
Saturday Jul 29,WSN,COL,7:05,7:05,7:05
Sunday Jul 30,WSN,COL,1:35,1:35,1:35
Monday Jul 31,WSN,MIA,7:10,7:10,7:10
Tuesday Aug 1,WSN,MIA,7:10,7:10,7:10
Wednesday Aug 2,WSN,MIA,7:10,7:10,7:10
Friday Aug 4,WSN,CHC,2:20,2:20,2:20
Saturday Aug 5,WSN,CHC,2:20,2:20,2:20
Sunday Aug 6,WSN,CHC,3:33,3:33,3:33
Monday Aug 7,WSN,MIA,7:05,7:05,7:05
Tuesday Aug 8,WSN,MIA,7:05,7:05,7:05
Wednesday Aug 9,WSN,MIA,7:05,7:05,7:05
Thursday Aug 10,WSN,MIA,7:05,7:05,7:05
Friday Aug 11,WSN,SFG,7:05,7:05,7:05
Saturday Aug 12,WSN,SFG,7:05,7:05,7:05
Sunday Aug 13,WSN,SFG,1:35,1:35,1:35
Tuesday Aug 15,WSN,LAA,7:05,7:05,7:05
Wednesday Aug 16,WSN,LAA,1:05,1:05,1:05
Thursday Aug 17,WSN,SDP,10:1,10:1,10:1
Friday Aug 18,WSN,SDP,10:1,10:1,10:1
Saturday Aug 19,WSN,SDP,8:40,8:40,8:40
Sunday Aug 20,WSN,SDP,4:40,4:40,4:40
Tuesday Aug 22,WSN,HOU,8:10,8:10,8:10
Wednesday Aug 23,WSN,HOU,8:10,8:10,8:10
Thursday Aug 24,WSN,HOU,8:10,8:10,8:10
Friday Aug 25,WSN,NYM,7:05,7:05,7:05
Saturday Aug 26,WSN,NYM,4:05,4:05,4:05
Sunday Aug 27,WSN,NYM,1:35,1:35,1:35
Monday Aug 28,WSN,MIA,7:05,7:05,7:05
Tuesday Aug 29,WSN,MIA,7:05,7:05,7:05
Wednesday Aug 30,WSN,MIA,4:05,4:05,4:05
Thursday Aug 31,WSN,MIL,8:10,8:10,8:10
Friday Sep 1,WSN,MIL,8:10,8:10,8:10
Saturday Sep 2,WSN,MIL,7:10,7:10,7:10
Sunday Sep 3,WSN,MIL,2:10,2:10,2:10
Monday Sep 4,WSN,MIA,7:10,7:10,7:10
Tuesday Sep 5,WSN,MIA,7:10,7:10,7:10
Wednesday Sep 6,WSN,MIA,7:10,7:10,7:10
Thursday Sep 7,WSN,PHI,7:05,7:05,7:05
Friday Sep 8,WSN,PHI,7:05,7:05,7:05
Saturday Sep 9,WSN,PHI,7:05,7:05,7:05
Sunday Sep 10,WSN,PHI,1:35,1:35,1:35
Tuesday Sep 12,WSN,ATL,7:05,7:05,7:05
